CycloneName,DateTime,Type,Latitude,Longitude,Maximum Wind
Tropical Cyclone Freddy,2023-02-06T06:00:00Z,Point,-12.2,118.6,
Tropical Cyclone Freddy,2023-02-06T12:00:00Z,Point,-12.6,118.5,45.0
Tropical Cyclone Freddy,2023-02-06T18:00:00Z,Point,-13,118.5,50.0
Tropical Cyclone Freddy,2023-02-07T00:00:00Z,Point,-13.9,117.8,65.0
Tropical Cyclone Freddy,2023-02-07T06:00:00Z,Point,-14.4,117,75.0
Tropical Cyclone Freddy,2023-02-07T12:00:00Z,Point,-14.6,116.1,90.0
Tropical Cyclone Freddy,2023-02-07T18:00:00Z,Point,-14.9,115.3,95.0
Tropical Cyclone Freddy,2023-02-08T00:00:00Z,Point,-15.1,114.5,90.0
Tropical Cyclone Freddy,2023-02-08T06:00:00Z,Point,-15.3,113.7,95.0
Tropical Cyclone Freddy,2023-02-08T12:00:00Z,Point,-16,113.1,80.0
Tropical Cyclone Freddy,2023-02-08T18:00:00Z,Point,-16.3,112.6,75.0
Tropical Cyclone Freddy,2023-02-09T00:00:00Z,Point,-16,111,75.0
Tropical Cyclone Freddy,2023-02-09T06:00:00Z,Point,-15.4,110.3,60.0
Tropical Cyclone Freddy,2023-02-09T12:00:00Z,Point,-15.4,109.6,50.0
Tropical Cyclone Freddy,2023-02-09T18:00:00Z,Point,-15.4,109.2,60.0
Tropical Cyclone Freddy,2023-02-10T00:00:00Z,Point,-15.3,108.4,70.0
Tropical Cyclone Freddy,2023-02-10T06:00:00Z,Point,-15.2,107.5,70.0
Tropical Cyclone Freddy,2023-02-10T12:00:00Z,Point,-14.8,106.5,70.0
Tropical Cyclone Freddy,2023-02-10T18:00:00Z,Point,-14.7,105.6,75.0
Tropical Cyclone Freddy,2023-02-11T00:00:00Z,Point,-14.8,104.8,80.0
Tropical Cyclone Freddy,2023-02-11T06:00:00Z,Point,-14.8,103.9,95.0
Tropical Cyclone Freddy,2023-02-11T12:00:00Z,Point,-14.8,103,105.0
Tropical Cyclone Freddy,2023-02-11T18:00:00Z,Point,-14.9,101.9,115.0
Tropical Cyclone Freddy,2023-02-12T00:00:00Z,Point,-15,101.2,115.0
Tropical Cyclone Freddy,2023-02-12T06:00:00Z,Point,-15.1,100.1,105.0
Tropical Cyclone Freddy,2023-02-12T12:00:00Z,Point,-15.1,98.9,100.0
Tropical Cyclone Freddy,2023-02-12T18:00:00Z,Point,-15,97.9,100.0
Tropical Cyclone Freddy,2023-02-13T00:00:00Z,Point,-15.1,96.8,100.0
Tropical Cyclone Freddy,2023-02-13T06:00:00Z,Point,-15.3,95.8,95.0
Tropical Cyclone Freddy,2023-02-13T12:00:00Z,Point,-15.4,94.6,90.0
Tropical Cyclone Freddy,2023-02-13T18:00:00Z,Point,-15.4,93.4,90.0
Tropical Cyclone Freddy,2023-02-14T00:00:00Z,Point,-15.4,92.5,85.0
Tropical Cyclone Freddy,2023-02-14T06:00:00Z,Point,-15.4,91,85.0
Tropical Cyclone Freddy,2023-02-14T12:00:00Z,Point,-15.4,90,95.0
Tropical Cyclone Freddy,2023-02-14T18:00:00Z,Point,-15.3,88.7,115.0
Tropical Cyclone Freddy,2023-02-15T00:00:00Z,Point,-15.3,87.3,120.0
Tropical Cyclone Freddy,2023-02-15T06:00:00Z,Point,-15.2,86,130.0
Tropical Cyclone Freddy,2023-02-15T12:00:00Z,Point,-15,84.9,135.0
Tropical Cyclone Freddy,2023-02-15T18:00:00Z,Point,-14.8,83.7,135.0
Tropical Cyclone Freddy,2023-02-16T00:00:00Z,Point,-14.8,82.5,135.0
Tropical Cyclone Freddy,2023-02-16T06:00:00Z,Point,-14.9,81,135.0
Tropical Cyclone Freddy,2023-02-16T12:00:00Z,Point,-15,79.5,125.0
Tropical Cyclone Freddy,2023-02-16T18:00:00Z,Point,-15.1,78,120.0
Tropical Cyclone Freddy,2023-02-17T00:00:00Z,Point,-15.4,76.6,120.0
Tropical Cyclone Freddy,2023-02-17T06:00:00Z,Point,-15.6,75.2,120.0
Tropical Cyclone Freddy,2023-02-17T12:00:00Z,Point,-15.8,73.8,120.0
Tropical Cyclone Freddy,2023-02-17T18:00:00Z,Point,-16,72.8,120.0
Tropical Cyclone Freddy,2023-02-18T00:00:00Z,Point,-16.1,71.5,115.0
Tropical Cyclone Freddy,2023-02-18T06:00:00Z,Point,-16.2,70.5,110.0
Tropical Cyclone Freddy,2023-02-18T12:00:00Z,Point,-16.2,69.4,110.0
Tropical Cyclone Freddy,2023-02-18T18:00:00Z,Point,-16.3,68.2,115.0
Tropical Cyclone Freddy,2023-02-19T00:00:00Z,Point,-16.7,67,135.0
Tropical Cyclone Freddy,2023-02-19T06:00:00Z,Point,-17,65.7,140.0
Tropical Cyclone Freddy,2023-02-19T12:00:00Z,Point,-17.4,64.1,130.0
Tropical Cyclone Freddy,2023-02-19T18:00:00Z,Point,-17.7,62.4,140.0
Tropical Cyclone Freddy,2023-02-20T00:00:00Z,Point,-18.1,60.7,130.0
Tropical Cyclone Freddy,2023-02-20T06:00:00Z,Point,-18.5,58.8,125.0
Tropical Cyclone Freddy,2023-02-20T12:00:00Z,Point,-18.9,57,120.0
Tropical Cyclone Freddy,2023-02-20T18:00:00Z,Point,-19.3,54.9,115.0
Tropical Cyclone Freddy,2023-02-21T00:00:00Z,Point,-19.8,53,110.0
Tropical Cyclone Freddy,2023-02-21T06:00:00Z,Point,-20.1,51.2,105.0
Tropical Cyclone Freddy,2023-02-21T12:00:00Z,Point,-20.7,49.6,100.0
Tropical Cyclone Freddy,2023-02-21T18:00:00Z,Point,-21.1,48.3,85.0
Tropical Cyclone Freddy,2023-02-22T00:00:00Z,Point,-21.1,46.8,70.0
Tropical Cyclone Freddy,2023-02-22T06:00:00Z,Point,-21.6,45.1,45.0
Tropical Cyclone Freddy,2023-02-22T12:00:00Z,Point,-22.4,43.6,40.0
Tropical Cyclone Freddy,2023-02-22T18:00:00Z,Point,-22,42.4,30.0
Tropical Cyclone Freddy,2023-02-23T00:00:00Z,Point,-22.1,41.1,30.0
Tropical Cyclone Freddy,2023-02-23T06:00:00Z,Point,-22.2,40.3,35.0
Tropical Cyclone Freddy,2023-02-23T12:00:00Z,Point,-22.5,39.4,50.0
Tropical Cyclone Freddy,2023-02-23T18:00:00Z,Point,-22.8,38.7,55.0
Tropical Cyclone Freddy,2023-02-24T00:00:00Z,Point,-22.8,37.6,60.0
Tropical Cyclone Freddy,2023-02-24T06:00:00Z,Point,-22.4,36.5,60.0
Tropical Cyclone Freddy,2023-02-24T12:00:00Z,Point,-22.6,35,50.0
Tropical Cyclone Freddy,2023-02-24T18:00:00Z,Point,-22.6,34.5,45.0
Tropical Cyclone Freddy,2023-02-25T00:00:00Z,Point,-22.6,33.8,40.0
Tropical Cyclone Freddy,2023-02-25T06:00:00Z,Point,-22.8,33.3,30.0
Tropical Cyclone Freddy,2023-02-25T12:00:00Z,Point,-22.9,33.1,30.0
Tropical Cyclone Freddy,2023-02-25T18:00:00Z,Point,-22.7,33.1,25.0
Tropical Cyclone Freddy,2023-02-26T00:00:00Z,Point,-22.4,33.3,25.0
Tropical Cyclone Freddy,2023-02-26T06:00:00Z,Point,-21.9,33.1,25.0
Tropical Cyclone Freddy,2023-02-26T12:00:00Z,Point,-21.5,33.1,25.0
Tropical Cyclone Freddy,2023-02-26T18:00:00Z,Point,-21.3,33.1,25.0
Tropical Cyclone Freddy,2023-02-27T00:00:00Z,Point,-20.9,33.2,25.0
Tropical Cyclone Freddy,2023-02-27T06:00:00Z,Point,-20.9,32.6,20.0
Tropical Cyclone Freddy,2023-02-27T12:00:00Z,Point,-21.5,31.4,20.0
Tropical Cyclone Freddy,2023-02-27T18:00:00Z,Point,-21.9,31.9,20.0
Tropical Cyclone Freddy,2023-02-28T00:00:00Z,Point,-22,32.2,20.0
Tropical Cyclone Freddy,2023-02-28T06:00:00Z,Point,-22.1,32.5,15.0
Tropical Cyclone Freddy,2023-02-28T12:00:00Z,Point,-22.1,33.1,15.0
Tropical Cyclone Freddy,2023-02-28T18:00:00Z,Point,-21.8,33,15.0
Tropical Cyclone Freddy,2023-03-01T00:00:00Z,Point,-21.9,33.3,15.0
Tropical Cyclone Freddy,2023-03-01T06:00:00Z,Point,-22.3,34.3,15.0
Tropical Cyclone Freddy,2023-03-01T12:00:00Z,Point,-22.3,35,15.0
Tropical Cyclone Freddy,2023-03-01T18:00:00Z,Point,-22.3,35.6,20.0
Tropical Cyclone Freddy,2023-03-02T00:00:00Z,Point,-22.1,36,20.0
Tropical Cyclone Freddy,2023-03-02T06:00:00Z,Point,-21.8,35.9,25.0
Tropical Cyclone Freddy,2023-03-02T12:00:00Z,Point,-21.2,37.2,25.0
Tropical Cyclone Freddy,2023-03-02T18:00:00Z,Point,-21.6,37.8,25.0
Tropical Cyclone Freddy,2023-03-03T00:00:00Z,Point,-21.9,37.8,25.0
Tropical Cyclone Freddy,2023-03-03T06:00:00Z,Point,-22,38,25.0
Tropical Cyclone Freddy,2023-03-03T12:00:00Z,Point,-21.8,38.1,30.0
Tropical Cyclone Freddy,2023-03-03T18:00:00Z,Point,-22,38.7,30.0
Tropical Cyclone Freddy,2023-03-04T00:00:00Z,Point,-22.3,39,30.0
Tropical Cyclone Freddy,2023-03-04T06:00:00Z,Point,-22.5,39.4,35.0
Tropical Cyclone Freddy,2023-03-04T12:00:00Z,Point,-22.6,40,40.0
Tropical Cyclone Freddy,2023-03-04T18:00:00Z,Point,-22.7,40.7,45.0
Tropical Cyclone Freddy,2023-03-05T00:00:00Z,Point,-22.8,41.4,45.0
Tropical Cyclone Freddy,2023-03-05T06:00:00Z,Point,-23.1,42,45.0
Tropical Cyclone Freddy,2023-03-05T12:00:00Z,Point,-23.1,42.4,45.0
Tropical Cyclone Freddy,2023-03-05T18:00:00Z,Point,-23.4,43.2,45.0
Tropical Cyclone Freddy,2023-03-06T00:00:00Z,Point,-23.7,43.2,45.0
Tropical Cyclone Freddy,2023-03-06T06:00:00Z,Point,-24.1,43.2,50.0
Tropical Cyclone Freddy,2023-03-06T12:00:00Z,Point,-24.1,42.9,50.0
Tropical Cyclone Freddy,2023-03-06T18:00:00Z,Point,-24,42.8,50.0
Tropical Cyclone Freddy,2023-03-07T00:00:00Z,Point,-24,42.7,55.0
Tropical Cyclone Freddy,2023-03-07T06:00:00Z,Point,-23.4,42.4,70.0
Tropical Cyclone Freddy,2023-03-07T12:00:00Z,Point,-23,42.1,85.0
Tropical Cyclone Freddy,2023-03-07T18:00:00Z,Point,-22.7,41.6,95.0
Tropical Cyclone Freddy,2023-03-08T00:00:00Z,Point,-22.3,41,100.0
Tropical Cyclone Freddy,2023-03-08T06:00:00Z,Point,-21.6,40.5,100.0
Tropical Cyclone Freddy,2023-03-08T12:00:00Z,Point,-21,40.2,95.0
Tropical Cyclone Freddy,2023-03-08T18:00:00Z,Point,-20.8,40.1,75.0
Tropical Cyclone Freddy,2023-03-09T00:00:00Z,Point,-20.3,39.6,60.0
Tropical Cyclone Freddy,2023-03-09T06:00:00Z,Point,-19.9,39.2,60.0
Tropical Cyclone Freddy,2023-03-09T12:00:00Z,Point,-19.5,38.8,60.0
Tropical Cyclone Freddy,2023-03-09T18:00:00Z,Point,-19.4,38.7,65.0
Tropical Cyclone Freddy,2023-03-10T00:00:00Z,Point,-19,38.6,65.0
Tropical Cyclone Freddy,2023-03-10T06:00:00Z,Point,-18.6,38.5,65.0
Tropical Cyclone Freddy,2023-03-10T12:00:00Z,Point,-18.2,38.4,65.0
Tropical Cyclone Freddy,2023-03-10T18:00:00Z,Point,-18.3,38,70.0
Tropical Cyclone Freddy,2023-03-11T00:00:00Z,Point,-18.1,37.6,80.0
Tropical Cyclone Freddy,2023-03-11T06:00:00Z,Point,-18,37.4,90.0
Tropical Cyclone Freddy,2023-03-11T12:00:00Z,Point,-17.9,37.3,95.0
Tropical Cyclone Freddy,2023-03-11T18:00:00Z,Point,-17.8,37.1,90.0
Tropical Cyclone Freddy,2023-03-12T00:00:00Z,Point,-17.5,36.9,80.0
